productionvolume,productioncost,supplierquality,deliverydelay,defectrate,qualityscore,maintenancehours,downtimepercentage,inventoryturnover,stockoutrate,workerproductivity,safetyincidents,energyconsumption,energyefficiency,additiveprocesstime,additivematerialcost,defectstatus,productionvolume30dd,productionvolume7dd,maintenancehoursperday,maintenancehourspermonth,prod_vol_permant_hour_perday,mant_hour_perprod_vol_perday,QScore_per_SupQuality,QScore_per_ProdCost,QScore_per_InvTurnOver,QScore_per_WorkerProd,QScore_per_EnergyEff,QScore_per_AddPrcssTime,QScore_per_AddMatCost
202,13175.403783454076,86.6485338434873,1,3.121492266688973,63.46349432717401,9,0.0523428665825131,8.630515349694399,0.081321680689565,85.0423792820698,0,2419.6167853897314,0.4689466237325203,5.551638989779324,236.4393009685121,1,6060,1414,1.2857142857142858,38.57142857142858,157.1111111111111,0.006364922206506365,0.732424329785057,0.004816815891963227,7.353384097673984,0.7462572762302119,135.3320209921643,11.43148797031139,0.26841347469397986
535,19770.046092867626,86.3106636132627,4,0.8195305110016484,83.69781763161657,20,4.908328249649529,9.296598088201092,0.0384864696462169,99.65744298305935,7,3915.566712518908,0.1194845582710166,9.080753556517903,353.95763117070123,1,16050,3745,2.857142857142857,85.71428571428572,187.25,0.0053404539385847796,0.9697274256474998,0.0042335671469077634,9.003058628278534,0.8398551590957863,700.490664590917,9.217056394129393,0.23646281436224234
960,19060.820997456784,82.13247237873196,0,4.514504070609866,90.3505500280751,1,2.464922789091977,5.097485700889168,0.002887365066928,92.81926429207655,2,3392.385361907013,0.4963915263771467,6.562827271335978,396.1894020789741,1,28800,6720,0.14285714285714285,4.285714285714286,6720.0,0.0001488095238095238,1.1000588124444577,0.0047401184891317245,17.724532314492812,0.9734029968581405,182.01469047525373,13.767016301448791,0.22804888155505265
370,5647.606036955175,87.33596641292537,5,0.6385239600693806,67.62869012018982,8,4.692475791653855,3.5776159908082663,0.0553309712298263,96.88701345693424,8,4652.400275208078,0.1831250880808031,8.097495649797912,164.13586993599623,1,11100,2590,1.1428571428571428,34.285714285714285,323.75,0.003088803088803089,0.7743509678525873,0.011974753493367048,18.903283721322737,0.6980160468074538,369.3032496473065,8.351803204967158,0.41202870613572284
206,7472.222235941557,81.9898933774593,3,3.867783602943844,82.72833363149964,9,2.746726169175264,6.851709481404519,0.0680471388923527,88.31555363943427,7,1581.6303322233557,0.2635069441596037,6.406154013365929,365.7089635552469,1,6180,1442,1.2857142857142858,38.57142857142858,160.2222222222222,0.006241331484049931,1.0090064790137092,0.011071449833702013,12.074115789063098,0.9367357189341126,313.9512466942498,12.913884595795476,0.22621357930977276
171,6975.931601818429,95.33191889424104,1,3.914573642169408,92.56843593531472,19,3.0273243011114435,7.930009365731895,0.0740694945336006,87.07911774289636,7,1238.994421294104,0.118020523266287,7.279442018854667,171.7118038606049,1,5130,1197,2.7142857142857144,81.42857142857143,63.0,0.015873015873015872,0.9710119864261616,0.01326968801001213,11.673181161088223,1.0630382844326207,784.3418532084855,12.716419156241766,0.5390918612121826
800,15889.698649779431,99.32548595496372,3,4.788999883768687,90.72991110585264,10,3.559561279519861,3.0468885305972844,0.0401924954309284,91.06315789762183,8,3138.4311499645146,0.3339128812432125,4.89166883913966,188.72773739599336,1,24000,5600,1.4285714285714286,42.85714285714286,560.0,0.0017857142857142857,0.9134605306335123,0.005709983122122462,29.777889868542964,0.9963404872018182,271.7173137138354,18.547844118125152,0.48074497346132444
120,17266.77994785418,99.40148913333414,4,0.7436048378104434,92.11968071468613,13,1.6048786683220275,8.380972117476272,0.00970196314924,88.70556885253279,3,1004.1085544431404,0.2934221061603966,9.333834716873657,312.526896112006,1,3600,840,1.8571428571428572,55.714285714285715,64.61538461538461,0.015476190476190477,0.9267434675060007,0.005335081641909397,10.991526928313627,1.0384881344690893,313.9493541237473,9.86943560808428,0.2947576092192446
714,8202.670494660078,97.30142198750788,5,3.185855873530209,95.17293699478878,2,3.494919803375173,3.668746560100464,0.0584326434463386,94.29896110273587,4,4150.875772539863,0.366682813893912,5.517451183952448,215.68092079042992,1,21420,4998,0.2857142857142857,8.571428571428571,2499.0,0.0004001600640256102,0.9781248315878429,0.011602677086291126,25.941540369630385,1.0092681391378293,259.5511253557797,17.24943888431674,0.44126729729267616
221,12587.790394277436,92.01584298679238,2,2.4252825678217382,97.5072840863788,0,2.6339595492569186,5.93341834326768,0.0329547885238181,85.3163618042359,6,3023.891554740037,0.317071250916589,5.965972023040868,364.6381764945946,0,6630,1547,0.0,0.0,inf,0.0,1.0596793000133102,0.007746179514611779,16.433576472323903,1.1428907893437346,307.52483488965,16.343905688763044,0.2674083252163923
